,text_raw,text_clean
0,CHAPTER ONE  The Sound of the Shell The boy with fair hair lowered himself down the last few feet of rock and began to pick his way toward the lagoon.,chapter one the sound of the she will the boy with fair hair lower himself down the last few foot of rock and begin to pick his way toward the lagoon
1,"Though he had taken off his school sweater and trailed it now from one hand, his grey shirt stuck to him and his hair was plastered to his forehead.",though he have take off his school sweater and trail it now from one hand his grey shirt stick to him and his hair be plaster to his forehead
2,All round him the long scar smashed into the jungle was a bath of heat.,all round him the long scar smash into the jungle be a bath of heat
3,"He was clambering heavily among the creepers and broken trunks when a bird, a vision of red and yellow, flashed upwards with a witch-like cry; and this cry was echoed by another.",he be clamber heavily among the creeper and break trunk when a bird a vision of red and yellow flash upwards with a witch like cry and this cry be echo by another
4,"""Hi!""",hello
5,it said.,it say
6,"""Wait a minute!""",wait a minute
7,The undergrowth at the side of the scar was shaken and a multitude of raindrops fell pattering.,the undergrowth at the side of the scar be shake and a multitude of raindrop fall patter
8,"""Wait a minute,"" the voice said.",wait a minute the voice say
9,"""I got caught up.""",i get catch up
10,The fair boy stopped and jerked his stockings with an automatic gesture that made the jungle seem for a moment like the Home Counties.,the fair boy stop and jerk his stocking with a automatic gesture that make the jungle seem for a moment like the home county
11,The voice spoke again.,the voice speak again
12,"""I can't hardly move with all these creeper things.""",i can not hardly move with all this creeper thing
13,The owner of the voice came backing out of the undergrowth so that twigs scratched on a greasy wind-breaker.,the owner of the voice come back out of the undergrowth so that twig scratch on a greasy wind breaker
14,"The naked crooks of his knees were plump, caught and scratched by thorns.",the naked crook of his knee be plump catch and scratch by thorn
15,"He bent down, removed the thorns carefully, and turned around.",he bend down remove the thorn carefully and turn around
16,He was shorter than the fair boy and very fat.,he be short than the fair boy and very fat
17,"He came forward, searching out safe lodgments for his feet, and then looked up through thick spectacles.",he come forward search out safe lodgment for his foot and then look up through thick spectacle
18,"""Where's the man with the megaphone?""",where be the man with the megaphone
19,The fair boy shook his head.,the fair boy shake his head
20,"""This is an island.",this be a island
21,At least I think it's an island.,at little i think it be a island
22,That's a reef out in the sea.,that be a reef out in the sea
23,"Perhaps there aren't any grownups anywhere.""",perhaps there be not any grownup anywhere
24,The fat boy looked startled.,the fat boy look startle
25,"""There was that pilot.",there be that pilot
26,"But he wasn't in the passenger cabin, he was up in front.""",but he be not in the passenger cabin he be up in front
27,The fair boy was peering at the reef through screwed-up eyes.,the fair boy be peer at the reef through screw up eye
28,"""All them other kids,"" the fat boy went on.",all them other kid the fat boy go on
29,"""Some of them must have got out.",some of them must have get out
30,"They must have, mustn't they?""",they must have must not they
31,The fair boy began to pick his way as casually as possible toward the water.,the fair boy begin to pick his way a casually a possible toward the water
32,"He tried to be offhand and not too obviously uninterested, but the fat boy hurried after him.",he try to be offhand and not too obviously uninterested but the fat boy hurry after him
33,"""Aren't there any grownups at all?""",be not there any grownup at all
34,"""I don't think so.""",i do not think so
35,The fair boy said this solemnly; but then the delight of a realized ambition overcame him.,the fair boy say this solemnly but then the delight of a realize ambition overcome him
36,In the middle of the scar he stood on his head and grinned at the reversed fat boy.,in the middle of the scar he stand on his head and grin at the reverse fat boy
37,"""No grownups!""",no grownup
38,The fat boy thought for a moment.,the fat boy think for a moment
39,"""That pilot.""",that pilot
