,text_raw,text_clean
40,The fair boy allowed his feet to come down and sat on the steamy earth.,the fair boy allow his foot to come down and sit on the steamy earth
41,"""He must have flown off after he dropped us.",he must have fly off after he drop us
42,He couldn't land here.,he can not land here
43,"Not in a place with wheels.""",not in a place with wheel
44,"""We was attacked!""",we be attack
45,"""He'll be back all right.""",he will be back all right
46,The fat boy shook his head.,the fat boy shake his head
47,"""When we was coming down I looked through one of them windows.",when we be come down i look through one of them window
48,I saw the other part of the plane.,i see the other part of the plane
49,"There were flames coming out of it.""",there be flame come out of it
50,He looked up and down the scar.,he look up and down the scar
51,"""And this is what the cabin done.""",and this be what the cabin do
52,The fair boy reached out and touched the jagged end of a trunk.,the fair boy reach out and touch the jag end of a trunk
53,For a moment he looked interested.,for a moment he look interest
54,"""What happened to it?""",what happen to it
55,he asked.,he ask
56,"""Where's it got to now?""",where be it get to now
57,"""That storm dragged it out to sea.",that storm drag it out to sea
58,It wasn't half dangerous with all them tree trunks falling.,it be not half dangerous with all them tree trunk fall
59,"There must have been some kids still in it.""",there must have be some kid still in it
60,"He hesitated for a moment, then spoke again.",he hesitate for a moment then speak again
61,"""What's your name?""",what be your name
62,"""Ralph.""",ralph
63,"The fat boy waited to be asked his name in turn but this proffer of acquaintance was not made; the fair boy called Ralph smiled vaguely, stood up, and began to make his way once more toward the lagoon.",the fat boy wait to be ask his name in turn but this proffer of acquaintance be not make the fair boy call ralph smile vague stand up and begin to make his way once much toward the lagoon
64,The fat boy hung steadily at his shoulder.,the fat boy hang steadily at his shoulder
65,"""I expect there's a lot more of us scattered about.",i expect there be a lot much of us scatter about
66,"You haven't seen any others, have you?""",you have not see any other have you
67,Ralph shook his head and increased his speed.,ralph shake his head and increase his speed
68,Then he tripped over a branch and came down with a crash.,then he trip over a branch and come down with a crash
69,"The fat boy stood by him, breathing hard.",the fat boy stand by him breathe hard
70,"""My auntie told me not to run,"" he explained, ""on account of my asthma.""",my auntie tell me not to run he explain on account of my asthma
71,"""Ass-mar?""",ass mar
72,"""That's right.",that be right
73,Can't catch my breath.,can not catch my breath
74,"I was the only boy in our school what had asthma,"" said the fat boy with a touch of pride.",i be the only boy in our school what have asthma say the fat boy with a touch of pride
75,"""And I've been wearing specs since I was three.""",and i have be wear spec since i be three
76,"He took off his glasses and held them out to Ralph, blinking and smiling, and then started to wipe them against his grubby wind-breaker.",he take off his glass and hold them out to ralph blink and smile and then start to wipe them against his grubby wind breaker
77,An expression of pain and inward concentration altered the pale contours of his face.,a expression of pain and inward concentration alter the pale contour of his face
78,He smeared the sweat from his cheeks and quickly adjusted the spectacles on his nose.,he smear the sweat from his cheek and quickly adjust the spectacle on his nose
79,"""Them fruit.""",them fruit
80,He glanced round the scar.,he glance round the scar
81,"""Them fruit,"" he said, ""I expect--""",them fruit he say i expect
82,"He put on his glasses, waded away from Ralph, and crouched down among the tangled foliage.",he put on his glass wade away from ralph and crouch down among the tangle foliage
83,"""I'll be out again in just a minute--""",i will be out again in just a minute
84,Ralph disentangled himself cautiously and stole away through the branches.,ralph disentangle himself cautiously and steal away through the branch
85,In a few seconds the fat boy's grunts were behind him and he was hurrying toward the screen that still lay between him and the lagoon.,in a few second the fat boy s grunt be behind him and he be hurry toward the screen that still lie between him and the lagoon
86,He climbed over a broken trunk and was out of the jungle.,he climb over a break trunk and be out of the jungle
87,The shore was fledged with palm trees.,the shore be fledge with palm tree
88,These stood or leaned or reclined against the light and their green feathers were a hundred feet up in the air.,this stand or lean or recline against the light and their green feather be a hundred foot up in the air
89,"The ground beneath them was a bank covered with coarse grass, torn everywhere by the upheavals of fallen trees, scattered with decaying coconuts and palm saplings.",the grind beneath them be a bank cover with coarse grass tear everywhere by the upheaval of fall tree scatter with decay coconut and palm sapling
90,Behind this was the darkness of the forest proper and the open space of the scar.,behind this be the darkness of the forest proper and the open space of the scar
91,"Ralph stood, one hand against a grey trunk, and screwed up his eyes against the shimmering water.",ralph stand one hand against a grey trunk and screw up his eye against the shimmer water
92,"Out there, perhaps a mile away, the white surf flinked on a coral reef, and beyond that the open sea was dark blue.",out there perhaps a mile away the white surf flinked on a coral reef and beyond that the open sea be dark blue
93,Within the irregular arc of coral the lagoon was still as a mountain lake--blue of all shades and shadowy green and purple.,within the irregular arc of coral the lagoon be still a a mountain lake blue of all shade and shadowy green and purple
94,"The beach between the palm terrace and the water was a thin stick, endless apparently, for to Ralph's left the perspectives of palm and beach and water drew to a point at infinity; and always, almost visible, was the heat.",the beach between the palm terrace and the water be a thin stick endless apparently for to ralph s leave the perspective of palm and beach and water draw to a point at infinity and always almost visible be the heat
95,He jumped down from the terrace.,he jump down from the terrace
96,The sand was thick over his black shoes and the heat hit him.,the sand be thick over his black shoe and the heat hit him
97,"He became conscious of the weight of clothes, kicked his shoes off fiercely and ripped off each stocking with its elastic garter in a single movement.",he become conscious of the weight of clothe kick his shoe off fiercely and rip off each stock with its elastic garter in a single movement
98,"Then he leapt back on the terrace, pulled off his shirt, and stood there among the skull-like coconuts with green shadows from the palms and the forest sliding over his skin.",then he leap back on the terrace pull off his shirt and stand there among the skull like coconut with green shadow from the palm and the forest slide over his skin
99,"He undid the snake-clasp of his belt, lugged off his shorts and pants, and stood there naked, looking at the dazzling beach and the water.",he undo the snake clasp of his belt lug off his short and pant and stand there naked look at the dazzle beach and the water
100,"He was old enough, twelve years and a few months, to have lost the prominent tummy of childhood and not yet old enough for adolescence to have made him awkward.",he be old enough twelve year and a few month to have lose the prominent tummy of childhood and not yet old enough for adolescence to have make him awkward
101,"You could see now that he might make a boxer, as far as width and heaviness of shoulders went, but there was a mildness about his mouth and eyes that proclaimed no devil.",you can see now that he may make a boxer a far a width and heaviness of shoulder go but there be a mildness about his mouth and eye that proclaim no devil
102,"He patted the palm trunk softly, and, forced at last to believe in the reality of the island laughed delightedly again and stood on his head.",he pat the palm trunk softly and force at last to believe in the reality of the island laugh delightedly again and stand on his head
103,"He turned neatly on to his feet, jumped down to the beach, knelt and swept a double armful of sand into a pile against his chest.",he turn neatly on to his foot jump down to the beach kneel and sweep a double armful of sand into a pile against his chest
104,"Then he sat back and looked at the water with bright, excited eyes.",then he sit back and look at the water with bright excite eye
105,"""Ralph--""",ralph
106,"The fat boy lowered himself over the terrace and sat down carefully, using the edge as a seat.",the fat boy lower himself over the terrace and sit down carefully use the edge a a seat
107,"""I'm sorry I been such a time.",i be sorry i be such a time
108,"Them fruit--""",them fruit
109,He wiped his glasses and adjusted them on his button nose.,he wipe his glass and adjust them on his button nose
110,"The frame had made a deep, pink ""V"" on the bridge.",the frame have make a deep pink v on the bridge
111,He looked critically at Ralph's golden body and then down at his own clothes.,he look critically at ralph s golden body and then down at his own clothe
112,He laid a hand on the end of a zipper that extended down his chest.,he lay a hand on the end of a zipper that extend down his chest
113,"""My auntie--""",my auntie
114,Then he opened the zipper with decision and pulled the whole wind-breaker over his head.,then he open the zipper with decision and pull the whole wind breaker over his head
115,"""There!""",there
116,Ralph looked at him sidelong and said nothing.,ralph look at him sidelong and say nothing
117,"""I expect we'll want to know all their names,"" said the fat boy, ""and make a list.",i expect we will want to know all their name say the fat boy and make a list
118,"We ought to have a meeting.""",we ought to have a meet
119,Ralph did not take the hint so the fat boy was forced to continue.,ralph do not take the hint so the fat boy be force to continue
120,"""I don't care what they call me,"" he said confidentially, ""so long as they don't call me what they used to call me at school.""",i do not care what they call me he say confidentially so long a they do not call me what they use to call me at school
121,Ralph was faintly interested.,ralph be faintly interest
122,"""What was that?""",what be that
123,"The fat boy glanced over his shoulder, then leaned toward Ralph.",the fat boy glance over his shoulder then lean toward ralph
124,He whispered.,he whisper
125,"""They used to call me 'Piggy.'""",they use to call me piggy
126,Ralph shrieked with laughter.,ralph shriek with laughter
127,He jumped up.,he jump up
128,"""Piggy!",piggy
129,"Piggy!""",piggy
130,"""Ralph--please!""",ralph please
131,Piggy clasped his hands in apprehension.,piggy clasp his hand in apprehension
132,"""I said I didn't want--"" ""Piggy!",i say i do not want piggy
133,"Piggy!""",piggy
134,"Ralph danced out into the hot air of the beach and then returned as a fighter-plane, with wings swept back, and machine-gunned Piggy.",ralph dance out into the hot air of the beach and then return a a fighter plane with wing sweep back and machine gun piggy
135,"""Sche-aa-ow!""",sche aa ow
136,He dived in the sand at Piggy's feet and lay there laughing.,he dive in the sand at piggy s foot and lie there laugh
137,"""Piggy!""",piggy
138,"Piggy grinned reluctantly, pleased despite himself at even this much recognition.",piggy grin reluctantly please despite himself at even this much recognition
139,"""So long as you don't tell the others--""",so long a you do not tell the other
140,Ralph giggled into the sand.,ralph giggle into the sand
141,The expression of pain and concentration returned to Piggy's face.,the expression of pain and concentration return to piggy s face
142,"""Half a sec'.""",half a sec
143,He hastened back into the forest.,he hasten back into the forest
144,Ralph stood up and trotted along to the right.,ralph stand up and trot along to the right
145,Here the beach was interrupted abruptly by the square motif of the landscape; a great platform of pink granite thrust up uncompromisingly through forest and terrace and sand and lagoon to make a raised jetty four feet high.,here the beach be interrupt abruptly by the square motif of the landscape a great platform of pink granite thrust up uncompromisingly through forest and terrace and sand and lagoon to make a raise jetty four foot high
146,The top of this was covered with a thin layer of soil and coarse grass and shaded with young palm trees.,the top of this be cover with a thin layer of soil and coarse grass and shade with young palm tree
147,"There was not enough soil for them to grow to any height and when they reached perhaps twenty feet they fell and dried, forming a criss-cross pattern of trunks, very convenient to sit on.",there be not enough soil for them to grow to any height and when they reach perhaps twenty foot they fall and dry form a criss cross pattern of trunk very convenient to sit on
148,"The palms that still stood made a green roof, covered on the underside with a quivering tangle of reflections from the lagoon.",the palm that still stand make a green roof cover on the underside with a quiver tangle of reflection from the lagoon
149,"Ralph hauled himself onto this platform, noted the coolness and shade, shut one eye, and decided that the shadows on his body were really green.",ralph haul himself onto this platform note the coolness and shade shut one eye and decide that the shadow on his body be really green
150,He picked his way to the seaward edge of the platform and stood looking down into the water.,he pick his way to the seaward edge of the platform and stand look down into the water
151,It was clear to the bottom and bright with the efflorescence of tropical weed and coral.,it be clear to the bottom and bright with the efflorescence of tropical wee and coral
152,"A school of tiny, glittering fish flicked hither and thither.",a school of tiny glitter fish flick hither and thither
153,"Ralph spoke to himself, sounding the bass strings of delight.",ralph speak to himself sound the bass string of delight
154,"""Whizzoh!""",whizzoh
155,Beyond the platform there was more enchantment.,beyond the platform there be much enchantment
156,"Some act of God--a typhoon perhaps, or the storm that had accompanied his own arrival--had banked sand inside the lagoon so that there was a long, deep pool in the beach with a high ledge of pink granite at the further end.",some act of god a typhoon perhaps or the storm that have accompany his own arrival have bank sand inside the lagoon so that there be a long deep pool in the beach with a high ledge of pink granite at the far end
157,Ralph had been deceived before now by the specious appearance of depth in a beach pool and he approached this one preparing to be disappointed.,ralph have be deceive before now by the specious appearance of depth in a beach pool and he approach this one prepare to be disappoint
158,"But the island ran true to form and the incredible pool, which clearly was only invaded by the sea at high tide, was so deep at one end as to be dark green.",but the island run true to form and the incredible pool which clearly be only invade by the sea at high tide be so deep at one end a to be dark green
159,Ralph inspected the whole thirty yards carefully and then plunged in.,ralph inspect the whole thirty yard carefully and then plunge in
160,The water was warmer than his blood and he might have been swimming in a huge bath.,the water be warm than his blood and he may have be swim in a huge bath
161,"Piggy appeared again, sat on the rocky ledge, and watched Ralph's green and white body enviously.",piggy appear again sit on the rocky ledge and watch ralph s green and white body enviously
162,"""You can't half swim.""",you can not half swim
163,"""Piggy.""",piggy
164,"Piggy took off his shoes and socks, ranged them carefully on the ledge, and tested the water with one toe.",piggy take off his shoe and sock range them carefully on the ledge and test the water with one toe
165,"""It's hot!""",it be hot
166,"""What did you expect?""",what do you expect
167,"""I didn't expect nothing.",i do not expect nothing
168,"My auntie--"" ""Sucks to your auntie!""",my auntie suck to your auntie
169,Ralph did a surface dive and swam under water with his eyes open; the sandy edge of the pool loomed up like a hillside.,ralph do a surface diva and swim under water with his eye open the sandy edge of the pool loom up like a hillside
170,"He turned over, holding his nose, and a golden light danced and shattered just over his face.",he turn over hold his nose and a golden light dance and shatter just over his face
171,Piggy was looking determined and began to take off his shorts.,piggy be look determine and begin to take off his short
172,Presently he was palely and fatly naked.,presently he be palely and fatly naked
173,"He tiptoed down the sandy side of the pool, and sat there up to his neck in water smiling proudly at Ralph.",he tiptoe down the sandy side of the pool and sit there up to his neck in water smile proudly at ralph
174,"""Aren't you going to swim?""",be not you go to swim
175,Piggy shook his head.,piggy shake his head
176,"""I can't swim.",i can not swim
177,I wasn't allowed.,i be not allow
178,"My asthma--"" ""Sucks to your ass-mar!""",my asthma suck to your ass mar
179,Piggy bore this with a sort of humble patience.,piggy bear this with a sort of humble patience
180,"""You can't half swim well.""",you can not half swim good
181,"Ralph paddled backwards down the slope, immersed his mouth and blew a jet of water into the air.",ralph paddle backwards down the slope immerse his mouth and blow a jet of water into the air
182,Then he lifted his chin and spoke.,then he lift his chin and speak
183,"""I could swim when I was five.",i can swim when i be five
184,Daddy taught me.,daddy teach me
185,He's a commander in the Navy.,he be a commander in the navy
186,When he gets leave he'll come and rescue us.,when he get leave he will come and rescue us
187,"What's your father?""",what be your father
188,Piggy flushed suddenly.,piggy flush suddenly
189,"""My dad's dead,"" he said quickly, ""and my mum--""",my dad s dead he say quickly and my mum
190,He took off his glasses and looked vainly for something with which to clean them.,he take off his glass and look vainly for something with which to clean them
191,"""I used to live with my auntie.",i use to live with my auntie
192,She kept a candy store.,she keep a candy store
193,I used to get ever so many candies.,i use to get ever so many candy
194,As many as I liked.,a many a i like
195,"When'll your dad rescue us?""",when will your dad rescue us
196,"""Soon as he can.""",soon a he can
197,"Piggy rose dripping from the water and stood naked, cleaning his glasses with a sock.",piggy rise drip from the water and stand naked clean his glass with a sock
198,"The only sound that reached them now through the heat of the morning was the long, grinding roar of the breakers on the reef.",the only sound that reach them now through the heat of the morning be the long grind roar of the breaker on the reef
199,"""How does he know we're here?""",how doe he know we be here
200,Ralph lolled in the water.,ralph loll in the water
201,Sleep enveloped him like the swathing mirages that were wrestling with the brilliance of the lagoon.,sleep envelop him like the swathe mirage that be wrestle with the brilliance of the lagoon
202,"""How does he know we're here?""",how doe he know we be here
203,"Because, thought Ralph, because, because.",because think ralph because because
204,The roar from the reef became very distant.,the roar from the reef become very distant
205,"""They'd tell him at the airport.""",they would tell him at the airport
206,"Piggy shook his head, put on his flashing glasses and looked down at Ralph.",piggy shake his head put on his flash glass and look down at ralph
207,"""Not them.",not them
208,Didn't you hear what the pilot said?,do not you hear what the pilot say
209,About the atom bomb?,about the atom bomb
210,"They're all dead.""",they be all dead
211,"Ralph pulled himself out of the water, stood facing Piggy, and considered this unusual problem.",ralph pull himself out of the water stand face piggy and consider this unusual problem
212,Piggy persisted.,piggy persist
213,"""This an island, isn't it?""",this a island be not it
214,"""I climbed a rock,"" said Ralph slowly, ""and I think this is an island.""",i climb a rock say ralph slowly and i think this be a island
215,"""They're all dead,"" said Piggy, ""an' this is an island.",they be all dead say piggy a this be a island
216,Nobody don't know we're here.,nobody do not know we be here
217,"Your dad don't know, nobody don't know--""",your dad do not know nobody do not know
218,His lips quivered and the spectacles were dimmed with mist.,his lip quiver and the spectacle be dim with mist
219,"""We may stay here till we die.""",we may stay here till we die
220,With that word the heat seemed to increase till it became a threatening weight and the lagoon attacked them with a blinding effulgence.,with that word the heat seem to increase till it become a threaten weight and the lagoon attack them with a blind effulgence
221,"""Get my clothes,"" muttered Ralph.",get my clothe mutter ralph
222,"""Along there.""",along there
223,"He trotted through the sand, enduring the sun's enmity, crossed the platform and found his scattered clothes.",he trot through the sand endure the sun s enmity cross the platform and find his scatter clothe
224,To put on a grey shirt once more was strangely pleasing.,to put on a grey shirt once much be strangely please
225,Then he climbed the edge of the platform and sat in the green shade on a convenient trunk.,then he climb the edge of the platform and sit in the green shade on a convenient trunk
226,"Piggy hauled himself up, carrying most of his clothes under his arms.",piggy haul himself up carry much of his clothe under his arm
227,Then he sat carefully on a fallen trunk near the little cliff that fronted the lagoon; and the tangled reflections quivered over him.,then he sit carefully on a fall trunk near the little cliff that front the lagoon and the tangle reflection quiver over him
228,Presently he spoke.,presently he speak
229,"""We got to find the others.",we get to find the other
230,"We got to do something.""",we get to do something
231,Ralph said nothing.,ralph say nothing
232,Here was a coral island.,here be a coral island
233,"Protected from the sun, ignoring Piggy's ill-omened talk, he dreamed pleasantly.",protect from the sun ignore piggy s ill omened talk he dream pleasantly
234,Piggy insisted.,piggy insist
235,"""How many of us are there?""",how many of us be there
236,Ralph came forward and stood by Piggy.,ralph come forward and stand by piggy
237,"""I don't know.""",i do not know
238,"Here and there, little breezes crept over the polished waters beneath the haze of heat.",here and there little breeze creep over the polish water beneath the haze of heat
239,"When these breezes reached the platform the palm fronds would whisper, so that spots of blurred sunlight slid over their bodies or moved like bright, winged things in the shade.",when this breeze reach the platform the palm frond would whisper so that spot of blur sunlight slide over their body or move like bright wing thing in the shade
240,Piggy looked up at Ralph.,piggy look up at ralph
241,"All the shadows on Ralph's face were reversed; green above, bright below from the lagoon.",all the shadow on ralph s face be reverse green above bright below from the lagoon
242,A blur of sunlight was crawling across his hair.,a blur of sunlight be crawl across his hair
243,"""We got to do something.""",we get to do something
244,Ralph looked through him.,ralph look through him
245,Here at last was the imagined but never fully realized place leaping into real life.,here at last be the imagine but never fully realize place leap into real life
246,"Ralph's lips parted in a delighted smile and Piggy, taking this smile to himself as a mark of recognition, laughed with pleasure.",ralph s lip part in a delight smile and piggy take this smile to himself a a mark of recognition laugh with pleasure
247,"""If it really is an island--"" ""What's that?""",if it really be a island what be that
248,Ralph had stopped smiling and was pointing into the lagoon.,ralph have stop smile and be point into the lagoon
249,Something creamy lay among the ferny weeds.,something creamy lie among the ferny weed
250,"""A stone.""",a stone
251,"""No.",no
252,"A shell.""",a she will
253,Suddenly Piggy was a-bubble with decorous excitement.,suddenly piggy be a bubble with decorous excitement
254,"""S'right.",s right
255,It's a shell!,it be a she will
256,I seen one like that before.,i see one like that before
257,On someone's back wall.,on someone be back wall
258,A conch he called it.,a conch he call it
259,He used to blow it and then his mum would come.,he use to blow it and then his mum would come
260,"It's ever so valuable--""",it be ever so valuable
261,Near to Ralph's elbow a palm sapling leaned out over the lagoon.,near to ralph s elbow a palm sapling lean out over the lagoon
262,"Indeed, the weight was already pulling a lump from the poor soil and soon it would fall.",indeed the weight be already pull a lump from the poor soil and soon it would fall
263,"He tore out the stem and began to poke about in the water, while the brilliant fish flicked away on this side and that.",he tear out the stem and begin to poke about in the water while the brilliant fish flick away on this side and that
264,Piggy leaned dangerously.,piggy lean dangerously
265,"""Careful!",careful
266,"You'll break it--"" ""Shut up.""",you will break it shut up
267,Ralph spoke absently.,ralph speak absently
268,"The shell was interesting and pretty and a worthy plaything; but the vivid phantoms of his day-dream still interposed between him and Piggy, who in this context was an irrelevance.",the she will be interest and pretty and a worthy plaything but the vivid phantom of his day dream still interpose between him and piggy who in this context be a irrelevance
269,"The palm sapling, bending, pushed the shell across the weeds.",the palm sapling bend push the she will across the weed
270,"Ralph used one hand as a fulcrum and pressed down with the other till the shell rose, dripping, and Piggy could make a grab.",ralph use one hand a a fulcrum and press down with the other till the she will rise drip and piggy can make a grab
271,"Now the shell was no longer a thing seen but not to be touched, Ralph too became excited.",now the she will be no long a thing see but not to be touch ralph too become excite
272,"Piggy babbled: ""--a conch; ever so expensive.",piggy babble a conch ever so expensive
273,"I bet if you wanted to buy one, you'd have to pay pounds and pounds and pounds--he had it on his garden wall, and my auntie--""",i bet if you want to buy one you would have to pay pound and pound and pound he have it on his garden wall and my auntie
274,Ralph took the shell from Piggy and a little water ran down his arm.,ralph take the she will from piggy and a little water run down his arm
275,"In color the shell was deep cream, touched here and there with fading pink.",in color the she will be deep cream touch here and there with fade pink
276,"Between the point, worn away into a little hole, and the pink lips of the mouth, lay eighteen inches of shell with a slight spiral twist and covered with a delicate, embossed pattern.",between the point wear away into a little hole and the pink lip of the mouth lie eighteen inch of she will with a slight spiral twist and cover with a delicate emboss pattern
277,"Ralph shook sand out of the deep tube. """,ralph shake sand out of the deep tube
278,"--mooed like a cow,"" he said.",moo like a cow he say
279,"""He had some white stones too, an' a bird cage with a green parrot.",he have some white stone too a a bird cage with a green parrot
280,"He didn't blow the white stones, of course, an' he said--""",he do not blow the white stone of course a he say
281,Piggy paused for breath and stroked the glistening thing that lay in Ralph's hands.,piggy pause for breath and stroke the glisten thing that lie in ralph s hand
282,"""Ralph!""",ralph
283,Ralph looked up.,ralph look up
284,"""We can use this to call the others.",we can use this to call the other
285,Have a meeting.,have a meet
286,"They'll come when they hear us--""",they will come when they hear us
287,He beamed at Ralph.,he beam at ralph
288,"""That was what you meant, didn't you?",that be what you mean do not you
289,"That's why you got the conch out of the water?""",that be why you get the conch out of the water
290,Ralph pushed back his fair hair.,ralph push back his fair hair
291,"""How did your friend blow the conch?""",how do your friend blow the conch
292,"""He kind of spat,"" said Piggy.",he kind of spit say piggy
293,"""My auntie wouldn't let me blow on account of my asthma.",my auntie would not let me blow on account of my asthma
294,"He said you blew from down here.""",he say you blow from down here
295,Piggy laid a hand on his jutting abdomen.,piggy lay a hand on his jut abdomen
296,"""You try, Ralph.",you try ralph
297,"You'll call the others.""",you will call the other
298,"Doubtfully, Ralph laid the small end of the shell against his mouth and blew.",doubtfully ralph lay the small end of the she will against his mouth and blow
299,There came a rushing sound from its mouth but nothing more.,there come a rush sound from its mouth but nothing much
300,"Ralph wiped the salt water off his lips and tried again, but the shell remained silent.",ralph wipe the salt water off his lip and try again but the she will remain silent
301,"""He kind of spat.""",he kind of spit
302,"Ralph pursed his lips and squirted air into the shell, which emitted a low, farting noise.",ralph purse his lip and squirt air into the she will which emit a low fart noise
303,"This amused both boys so much that Ralph went on squirting for some minutes, between bouts of laughter.",this amuse both boy so much that ralph go on squirt for some minute between bout of laughter
304,"""He blew from down here.""",he blow from down here
305,Ralph grasped the idea and hit the shell with air from his diaphragm.,ralph grasp the idea and hit the she will with air from his diaphragm
306,Immediately the thing sounded.,immediately the thing sound
307,"A deep, harsh note boomed under the palms, spread through the intricacies of the forest and echoed back from the pink granite of the mountain.",a deep harsh note boom under the palm spread through the intricacy of the forest and echo back from the pink granite of the mountain
308,"Clouds of birds rose from the treetops, and something squealed and ran in the undergrowth.",cloud of bird rise from the treetop and something squeal and run in the undergrowth
309,Ralph took the shell away from his lips.,ralph take the she will away from his lip
310,"""Gosh!""",gosh
311,His ordinary voice sounded like a whisper after the harsh note of the conch.,his ordinary voice sound like a whisper after the harsh note of the conch
312,"He laid the conch against his lips, took a deep breath and blew once more.",he lay the conch against his lip take a deep breath and blow once much
313,"The note boomed again: and then at his firmer pressure, the note, fluking up an octave, became a strident blare more penetrating than before.",the note boom again and then at his firm pressure the note fluking up a octave become a strident blare much penetrate than before
314,"Piggy was shouting something, his face pleased, his glasses flashing.",piggy be shout something his face please his glass flash
315,"The birds cried, small animals scuttered.",the bird cry small animal scuttered
316,"Ralph's breath failed; the note dropped the octave, became a low wubber, was a rush of air.",ralph s breath fail the note drop the octave become a low wubber be a rush of air
317,"The conch was silent, a gleaming tusk; Ralph's face was dark with breathlessness and the air over the island was full of bird-clamor and echoes ringing.",the conch be silent a gleam tusk ralph s face be dark with breathlessness and the air over the island be full of bird clamor and echo ring
318,"""I bet you can hear that for miles.""",i bet you can hear that for mile
319,Ralph found his breath and blew a series of short blasts.,ralph find his breath and blow a series of short blast
320,"Piggy exclaimed: ""There's one!""",piggy exclaim there be one
321,"A child had appeared among the palms, about a hundred yards along the beach.",a child have appear among the palm about a hundred yard along the beach
322,"He was a boy of perhaps six years, sturdy and fair, his clothes torn, his face covered with a sticky mess of fruit.",he be a boy of perhaps six year sturdy and fair his clothe tear his face cover with a sticky mess of fruit
323,His trousers had been lowered for an obvious purpose and had only been pulled back half-way.,his trouser have be lower for a obvious purpose and have only be pull back half way
324,He jumped off the palm terrace into the sand and his trousers fell about his ankles; he stepped out of them and trotted to the platform.,he jump off the palm terrace into the sand and his trouser fall about his ankle he step out of them and trot to the platform
325,Piggy helped him up.,piggy help him up
326,Meanwhile Ralph continued to blow till voices shouted in the forest.,meanwhile ralph continue to blow till voice shout in the forest
327,"The small boy squatted in front of Ralph, looking up brightly and vertically.",the small boy squat in front of ralph look up brightly and vertically
328,"As he received the reassurance of something purposeful being done he began to look satisfied, and his only clean digit, a pink thumb, slid into his mouth.",a he receive the reassurance of something purposeful be do he begin to look satisfy and his only clean digit a pink thumb slide into his mouth
329,Piggy leaned down to him.,piggy lean down to him
330,"""What's yer name?""",what be yer name
331,"""Johnny.""",johnny
