,text_raw,text_clean
35,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.,he feel his body small and weak amid the throng of the player and his eye be weak and watery
36,Rody Kickham was not like that: he would be captain of the third line all the fellows said.,rody kickham be not like that he would be captain of the 3 line all the fellow say
37,Rody Kickham was a decent fellow but Nasty Roche was a stink.,rody kickham be a decent fellow but nasty roche be a stink
38,Rody Kickham had greaves in his number and a hamper in the refectory.,rody kickham have greaves in his numb and a hamper in the refectory
39,Nasty Roche had big hands.,nasty roche have big hand
40,He called the Friday pudding dog-in-the-blanket.,he call the friday pudding dog in the blanket
41,And one day he had asked:,and one day he have ask
42,What is your name?,what be your name
43,Stephen had answered: Stephen Dedalus.,stephen have answer stephen dedalus
44,Then Nasty Roche had said:,then nasty roche have say
45,What kind of a name is that?,what kind of a name be that
46,And when Stephen had not been able to answer Nasty Roche had asked:,and when stephen have not be able to answer nasty roche have ask
47,What is your father?,what be your father
48,Stephen had answered:,stephen have answer
49,A gentleman.,a gentleman
50,Then Nasty Roche had asked:,then nasty roche have ask
51,Is he a magistrate?,be he a magistrate
52,"He crept about from point to point on the fringe of his line, making little runs now and then.",he creep about from point to point on the fringe of his line make little run now and then
53,But his hands were bluish with cold.,but his hand be bluish with cold
54,He kept his hands in the side pockets of his belted grey suit.,he keep his hand in the side pocket of his belt grey suit
55,That was a belt round his pocket.,that be a belt round his pocket
56,And belt was also to give a fellow a belt.,and belt be also to give a fellow a belt
57,One day a fellow said to Cantwell:,one day a fellow say to cantwell
58,I'd give you such a belt in a second.,i would give you such a belt in a 2
59,Cantwell had answered:,cantwell have answer
60,Go and fight your match.,go and fight your match
61,Give Cecil Thunder a belt.,give cecil thunder a belt
62,I'd like to see you.,i would like to see you
63,He'd give you a toe in the rump for yourself.,he would give you a toe in the rump for yourself
64,That was not a nice expression.,that be not a nice expression
65,His mother had told him not to speak with the rough boys in the college.,his mother have tell him not to speak with the rough boy in the college
66,Nice mother!,nice mother
67,The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.,the ﻿1 day in the hall of the castle when she have say goodbye she have put up her veil double to her nose to kiss him and her nose and eye be red
68,But he had pretended not to see that she was going to cry.,but he have pretend not to see that she be go to cry
69,She was a nice mother but she was not so nice when she cried.,she be a nice mother but she be not so nice when she cry
70,And his father had given him two five-shilling pieces for pocket money.,and his father have give him two five shilling piece for pocket money
71,"And his father had told him if he wanted anything to write home to him and, whatever he did, never to peach on a fellow.",and his father have tell him if he want anything to write home to him and whatever he do never to peach on a fellow
72,"Then at the door of the castle the rector had shaken hands with his father and mother, his soutane fluttering in the breeze, and the car had driven off with his father and mother on it.",then at the door of the castle the rector have shake hand with his father and mother his soutane flutter in the breeze and the car have drive off with his father and mother on it
73,"They had cried to him from the car, waving their hands:",they have cry to him from the car wave their hand
74,"Goodbye, Stephen, goodbye!",goodbye stephen goodbye
75,"Goodbye, Stephen, goodbye!",goodbye stephen goodbye
76,"He was caught in the whirl of a scrimmage and, fearful of the flashing eyes and muddy boots, bent down to look through the legs.",he be catch in the whirl of a scrimmage and fearful of the flash eye and muddy boot bend down to look through the leg
77,The fellows were struggling and groaning and their legs were rubbing and kicking and stamping.,the fellow be struggle and groan and their leg be rub and kick and stamp
78,Then Jack Lawton's yellow boots dodged out the ball and all the other boots and legs ran after.,then jack lawton s yellow boot dodge out the ball and all the other boot and leg run after
79,He ran after them a little way and then stopped.,he run after them a little way and then stop
80,It was useless to run on.,it be useless to run on
81,Soon they would be going home for the holidays.,soon they would be go home for the holiday
82,After supper in the study hall he would change the number pasted up inside his desk from seventy-seven to seventy-six.,after supper in the study hall he would change the numb paste up inside his desk from seventy seven to seventy six
83,It would be better to be in the study hall than out there in the cold.,it would be well to be in the study hall than out there in the cold
84,The sky was pale and cold but there were lights in the castle.,the sky be pale and cold but there be light in the castle
85,He wondered from which window Hamilton Rowan had thrown his hat on the ha-ha and had there been flowerbeds at that time under the windows.,he wonder from which window hamilton rowan have throw his hat on the ha ha and have there be flowerbed at that time under the window
86,One day when he had been called to the castle the butler had shown him the marks of the soldiers' slugs in the wood of the door and had given him a piece of shortbread that the community ate.,one day when he have be call to the castle the butler have show him the mark of the soldier slug in the wood of the door and have give him a piece of shortbread that the community eat
87,It was nice and warm to see the lights in the castle.,it be nice and warm to see the light in the castle
88,It was like something in a book.,it be like something in a book
89,Perhaps Leicester Abbey was like that.,perhaps leicester abbey be like that
90,And there were nice sentences in Doctor Cornwell's Spelling Book.,and there be nice sentence in doctor cornwell s spell book
91,They were like poetry but they were only sentences to learn the spelling from.,they be like poetry but they be only sentence to learn the spell from
92,Wolsey died in Leicester Abbey     Where the abbots buried him.,wolsey die in leicester abbey where the abbot bury him
93,"Canker is a disease of plants,     Cancer one of animals.",canker be a disease of plant cancer one of animal
94,"It would be nice to lie on the hearthrug before the fire, leaning his head upon his hands, and think on those sentences.",it would be nice to lie on the hearthrug before the fire lean his head upon his hand and think on that sentence
95,He shivered as if he had cold slimy water next his skin.,he shiver a if he have cold slimy water next his skin
96,"That was mean of Wells to shoulder him into the square ditch because he would not swop his little snuff box for Wells's seasoned hacking chestnut, the conqueror of forty.",that be mean of well to shoulder him into the square ditch because he would not swop his little snuff box for well s season hack chestnut the conqueror of forty
97,How cold and slimy the water had been!,how cold and slimy the water have be
98,A fellow had once seen a big rat jump into the scum.,a fellow have once see a big rat jump into the scum
99,Mother was sitting at the fire with Dante waiting for Brigid to bring in the tea.,mother be sit at the fire with dante wait for brigid to bring in the tea
100,She had her feet on the fender and her jewelly slippers were so hot and they had such a lovely warm smell!,she have her foot on the fender and her jewelly slipper be so hot and they have such a lovely warm smell
101,Dante knew a lot of things.,dante know a lot of thing
102,She had taught him where the Mozambique Channel was and what was the longest river in America and what was the name of the highest mountain in the moon.,she have teach him where the mozambique channel be and what be the long river in america and what be the name of the high mountain in the moon
103,Father Arnall knew more than Dante because he was a priest but both his father and uncle Charles said that Dante was a clever woman and a well-read woman.,father arnall know much than dante because he be a priest but both his father and uncle charles say that dante be a clever woman and a good read woman
104,And when Dante made that noise after dinner and then put up her hand to her mouth: that was heartburn.,and when dante make that noise after dinner and then put up her hand to her mouth that be heartburn
105,A voice cried far out on the playground:,a voice cry far out on the playground
106,Then other voices cried from the lower and third lines:,then other voice cry from the low and 3 line
107,All in!,all in
108,All in!,all in
109,"The players closed around, flushed and muddy, and he went among them, glad to go in.",the player close around flush and muddy and he go among them glad to go in
110,Rody Kickham held the ball by its greasy lace.,rody kickham hold the ball by its greasy lace
111,A fellow asked him to give it one last: but he walked on without even answering the fellow.,a fellow ask him to give it one last but he walk on without even answer the fellow
112,Simon Moonan told him not to because the prefect was looking.,simon moonan tell him not to because the prefect be look
113,The fellow turned to Simon Moonan and said:,the fellow turn to simon moonan and say
114,We all know why you speak.,we all know why you speak
115,You are McGlade's suck.,you be mcglade s suck
116,Suck was a queer word.,suck be a queer word
117,The fellow called Simon Moonan that name because Simon Moonan used to tie the prefect's false sleeves behind his back and the prefect used to let on to be angry.,the fellow call simon moonan that name because simon moonan use to tie the prefect s false sleeve behind his back and the prefect use to let on to be angry
118,But the sound was ugly.,but the sound be ugly
119,Once he had washed his hands in the lavatory of the Wicklow Hotel and his father pulled the stopper up by the chain after and the dirty water went down through the hole in the basin.,once he have wash his hand in the lavatory of the wicklow hotel and his father pull the stopper up by the chain after and the dirty water go down through the hole in the basin
120,And when it had all gone down slowly the hole in the basin had made a sound like that: suck.,and when it have all go down slowly the hole in the basin have make a sound like that suck
121,Only louder.,only loud
122,To remember that and the white look of the lavatory made him feel cold and then hot.,to remember that and the white look of the lavatory make him feel cold and then hot
123,There were two cocks that you turned and water came out: cold and hot.,there be two cock that you turn and water come out cold and hot
124,He felt cold and then a little hot: and he could see the names printed on the cocks.,he feel cold and then a little hot and he can see the name print on the cock
125,That was a very queer thing.,that be a very queer thing
126,And the air in the corridor chilled him too.,and the air in the corridor chill him too
127,It was queer and wettish.,it be queer and wettish
128,But soon the gas would be lit and in burning it made a light noise like a little song.,but soon the gas would be light and in burn it make a light noise like a little song
129,Always the same: and when the fellows stopped talking in the playroom you could hear it.,always the same and when the fellow stop talk in the playroom you can hear it
130,It was the hour for sums.,it be the hour for sum
131,Father Arnall wrote a hard sum on the board and then said:,father arnall write a hard sum on the board and then say
132,"Now then, who will win?",now then who will win
133,"Go ahead, York!",go ahead york
134,"Go ahead, Lancaster!",go ahead lancaster
135,"Stephen tried his best, but the sum was too hard and he felt confused.",stephen try his well but the sum be too hard and he feel confuse
136,The little silk badge with the white rose on it that was pinned on the breast of his jacket began to flutter.,the little silk badge with the white rise on it that be pin on the breast of his jacket begin to flutter
137,"He was no good at sums, but he tried his best so that York might not lose.",he be no good at sum but he try his well so that york may not lose
138,"Father Arnall's face looked very black, but he was not in a wax: he was laughing.",father arnall s face look very black but he be not in a wax he be laugh
139,Then Jack Lawton cracked his fingers and Father Arnall looked at his copybook and said:,then jack lawton crack his finger and father arnall look at his copybook and say
140,Right.,right
141,Bravo Lancaster!,bravo lancaster
142,The red rose wins.,the red rise win
143,"Come on now, York!",come on now york
144,Forge ahead!,forge ahead
145,Jack Lawton looked over from his side.,jack lawton look over from his side
146,The little silk badge with the red rose on it looked very rich because he had a blue sailor top on.,the little silk badge with the red rise on it look very rich because he have a blue sailor top on
147,"Stephen felt his own face red too, thinking of all the bets about who would get first place in elements, Jack Lawton or he.",stephen feel his own face red too think of all the bet about who would get ﻿1 place in element jack lawton or he
148,Some weeks Jack Lawton got the card for first and some weeks he got the card for first.,some week jack lawton get the card for ﻿1 and some week he get the card for ﻿1
149,His white silk badge fluttered and fluttered as he worked at the next sum and heard Father Arnall's voice.,his white silk badge flutter and flutter a he work at the next sum and hear father arnall s voice
150,Then all his eagerness passed away and he felt his face quite cool.,then all his eagerness pass away and he feel his face quite cool
151,He thought his face must be white because it felt so cool.,he think his face must be white because it feel so cool
152,He could not get out the answer for the sum but it did not matter.,he can not get out the answer for the sum but it do not matt
153,White roses and red roses: those were beautiful colours to think of.,white rose and red rose that be beautiful colour to think of
154,And the cards for first place and second place and third place were beautiful colours too: pink and cream and lavender.,and the card for ﻿1 place and 2 place and 3 place be beautiful colour too pink and cream and lavender
155,Lavender and cream and pink roses were beautiful to think of.,lavender and cream and pink rose be beautiful to think of
156,Perhaps a wild rose might be like those colours and he remembered the song about the wild rose blossoms on the little green place.,perhaps a wild rise may be like that colour and he remember the song about the wild rise blossom on the little green place
157,But you could not have a green rose.,but you can not have a green rise
158,But perhaps somewhere in the world you could.,but perhaps somewhere in the world you can
159,The bell rang and then the classes began to file out of the rooms and along the corridors towards the refectory.,the bell ring and then the class begin to file out of the room and along the corridor towards the refectory
160,He sat looking at the two prints of butter on his plate but could not eat the damp bread.,he sit look at the two print of butter on his plate but can not eat the damp bread
161,The tablecloth was damp and limp.,the tablecloth be damp and limp
162,"But he drank off the hot weak tea which the clumsy scullion, girt with a white apron, poured into his cup.",but he drink off the hot weak tea which the clumsy scullion gird with a white apron pour into his cup
163,He wondered whether the scullion's apron was damp too or whether all white things were cold and damp.,he wonder whether the scullion s apron be damp too or whether all white thing be cold and damp
164,Nasty Roche and Saurin drank cocoa that their people sent them in tins.,nasty roche and saurin drink cocoa that their people send them in tin
165,They said they could not drink the tea; that it was hogwash.,they say they can not drink the tea that it be hogwash
166,"Their fathers were magistrates, the fellows said.",their father be magistrate the fellow say
167,All the boys seemed to him very strange.,all the boy seem to him very strange
168,They had all fathers and mothers and different clothes and voices.,they have all father and mother and different clothe and voice
169,He longed to be at home and lay his head on his mother's lap.,he long to be at home and lie his head on his mother s lap
170,But he could not: and so he longed for the play and study and prayers to be over and to be in bed.,but he can not and so he long for the play and study and prayer to be over and to be in bed
171,He drank another cup of hot tea and Fleming said:,he drink another cup of hot tea and fleming say
172,What's up?,what be up
173,Have you a pain or what's up with you?,have you a pain or what be up with you
174,"I don't know, Stephen said.",i do not know stephen say
175,"Sick in your breadbasket, Fleming said, because your face looks white.",sick in your breadbasket fleming say because your face look white
176,It will go away.,it will go away
177,"O yes, Stephen said.",o yes stephen say
178,But he was not sick there.,but he be not sick there
179,He thought that he was sick in his heart if you could be sick in that place.,he think that he be sick in his heart if you can be sick in that place
180,Fleming was very decent to ask him.,fleming be very decent to ask him
181,He wanted to cry.,he want to cry
182,He leaned his elbows on the table and shut and opened the flaps of his ears.,he lean his elbow on the table and shut and open the flap of his ear
183,Then he heard the noise of the refectory every time he opened the flaps of his ears.,then he hear the noise of the refectory every time he open the flap of his ear
184,It made a roar like a train at night.,it make a roar like a train at night
185,And when he closed the flaps the roar was shut off like a train going into a tunnel.,and when he close the flap the roar be shut off like a train go into a tunnel
186,"That night at Dalkey the train had roared like that and then, when it went into the tunnel, the roar stopped.",that night at dalkey the train have roar like that and then when it go into the tunnel the roar stop
187,"He closed his eyes and the train went on, roaring and then stopping; roaring again, stopping.",he close his eye and the train go on roar and then stop roar again stop
188,It was nice to hear it roar and stop and then roar out of the tunnel again and then stop.,it be nice to hear it roar and stop and then roar out of the tunnel again and then stop
189,"Then the higher line fellows began to come down along the matting in the middle of the refectory, Paddy Rath and Jimmy Magee and the Spaniard who was allowed to smoke cigars and the little Portuguese who wore the woolly cap.",then the high line fellow begin to come down along the mat in the middle of the refectory paddy rath and jimmy magee and the spaniard who be allow to smoke cigar and the little portuguese who wear the woolly cap
190,And then the lower line tables and the tables of the third line.,and then the low line table and the table of the 3 line
191,And every single fellow had a different way of walking.,and every single fellow have a different way of walk
192,He sat in a corner of the playroom pretending to watch a game of dominoes and once or twice he was able to hear for an instant the little song of the gas.,he sit in a corner of the playroom pretend to watch a game of domino and once or twice he be able to hear for a instant the little song of the gas
193,The prefect was at the door with some boys and Simon Moonan was knotting his false sleeves.,the prefect be at the door with some boy and simon moonan be knot his false sleeve
194,He was telling them something about Tullabeg.,he be tell them something about tullabeg
195,Then he went away from the door and Wells came over to Stephen and said:,then he go away from the door and well come over to stephen and say
196,"Tell us, Dedalus, do you kiss your mother before you go to bed?",tell us dedalus do you kiss your mother before you go to bed
197,Stephen answered:,stephen answer
198,Wells turned to the other fellows and said:,well turn to the other fellow and say
199,"O, I say, here's a fellow says he kisses his mother every night before he goes to bed.",o i say here be a fellow say he kiss his mother every night before he go to bed
200,"The other fellows stopped their game and turned round, laughing.",the other fellow stop their game and turn round laugh
201,Stephen blushed under their eyes and said:,stephen blush under their eye and say
202,Wells said:,well say
203,"O, I say, here's a fellow says he doesn't kiss his mother before he goes to bed.",o i say here be a fellow say he doe not kiss his mother before he go to bed
204,They all laughed again.,they all laugh again
205,Stephen tried to laugh with them.,stephen try to laugh with them
206,He felt his whole body hot and confused in a moment.,he feel his whole body hot and confuse in a moment
207,What was the right answer to the question?,what be the right answer to the question
208,He had given two and still Wells laughed.,he have give two and still well laugh
209,But Wells must know the right answer for he was in third of grammar.,but well must know the right answer for he be in 3 of grammar
210,He tried to think of Wells's mother but he did not dare to raise his eyes to Wells's face.,he try to think of well s mother but he do not dare to raise his eye to well s face
211,He did not like Wells's face.,he do not like well s face
212,"It was Wells who had shouldered him into the square ditch the day before because he would not swop his little snuff box for Wells's seasoned hacking chestnut, the conqueror of forty.",it be well who have shoulder him into the square ditch the day before because he would not swop his little snuff box for well s season hack chestnut the conqueror of forty
213,It was a mean thing to do; all the fellows said it was.,it be a mean thing to do all the fellow say it be
214,And how cold and slimy the water had been!,and how cold and slimy the water have be
215,And a fellow had once seen a big rat jump plop into the scum.,and a fellow have once see a big rat jump plop into the scum
216,"The cold slime of the ditch covered his whole body; and, when the bell rang for study and the lines filed out of the playrooms, he felt the cold air of the corridor and staircase inside his clothes.",the cold slime of the ditch cover his whole body and when the bell ring for study and the line file out of the playroom he feel the cold air of the corridor and staircase inside his clothe
217,He still tried to think what was the right answer.,he still try to think what be the right answer
218,Was it right to kiss his mother or wrong to kiss his mother?,be it right to kiss his mother or wrong to kiss his mother
219,"What did that mean, to kiss?",what do that mean to kiss
220,You put your face up like that to say good night and then his mother put her face down.,you put your face up like that to say good night and then his mother put her face down
221,That was to kiss.,that be to kiss
222,His mother put her lips on his cheek; her lips were soft and they wetted his cheek; and they made a tiny little noise: kiss.,his mother put her lip on his cheek her lip be soft and they wet his cheek and they make a tiny little noise kiss
223,Why did people do that with their two faces?,why do people do that with their two face
224,Sitting in the study hall he opened the lid of his desk and changed the number pasted up inside from seventy-seven to seventy-six.,sit in the study hall he open the lid of his desk and change the numb paste up inside from seventy seven to seventy six
225,But the Christmas vacation was very far away: but one time it would come because the earth moved round always.,but the christmas vacation be very far away but one time it would come because the earth move round always
226,There was a picture of the earth on the first page of his geography: a big ball in the middle of clouds.,there be a picture of the earth on the ﻿1 page of his geography a big ball in the middle of cloud
227,Fleming had a box of crayons and one night during free study he had coloured the earth green and the clouds maroon.,fleming have a box of crayon and one night during free study he have colour the earth green and the cloud maroon
228,"That was like the two brushes in Dante's press, the brush with the green velvet back for Parnell and the brush with the maroon velvet back for Michael Davitt.",that be like the two brush in dante s press the brush with the green velvet back for parnell and the brush with the maroon velvet back for michael davitt
229,But he had not told Fleming to colour them those colours.,but he have not tell fleming to colour them that colour
230,Fleming had done it himself.,fleming have do it himself
231,He opened the geography to study the lesson; but he could not learn the names of places in America.,he open the geography to study the lesson but he can not learn the name of place in america
232,Still they were all different places that had different names.,still they be all different place that have different name
233,They were all in different countries and the countries were in continents and the continents were in the world and the world was in the universe.,they be all in different country and the country be in continent and the continent be in the world and the world be in the universe
234,"He turned to the flyleaf of the geography and read what he had written there: himself, his name and where he was.",he turn to the flyleaf of the geography and read what he have write there himself his name and where he be
235,Stephen Dedalus     Class of Elements     Clongowes Wood College     Sallins     County Kildare     Ireland     Europe     The World     The Universe,stephen dedalus class of element clongowes wood college sallins county kildare ireland europe the world the universe
236,That was in his writing: and Fleming one night for a cod had written on the opposite page:,that be in his write and fleming one night for a cod have write on the opposite page
237,"Stephen Dedalus is my name,     Ireland is my nation.",stephen dedalus be my name ireland be my nation
238,Clongowes is my dwellingplace     And heaven my expectation.,clongowes be my dwellingplace and heaven my expectation
239,He read the verses backwards but then they were not poetry.,he read the verse backwards but then they be not poetry
240,Then he read the flyleaf from the bottom to the top till he came to his own name.,then he read the flyleaf from the bottom to the top till he come to his own name
241,That was he: and he read down the page again.,that be he and he read down the page again
242,What was after the universe?,what be after the universe
243,Nothing.,nothing
244,But was there anything round the universe to show where it stopped before the nothing place began?,but be there anything round the universe to show where it stop before the nothing place begin
245,It could not be a wall; but there could be a thin thin line there all round everything.,it can not be a wall but there can be a thin thin line there all round everything
246,It was very big to think about everything and everywhere.,it be very big to think about everything and everywhere
247,Only God could do that.,only god can do that
248,He tried to think what a big thought that must be; but he could only think of God.,he try to think what a big think that must be but he can only think of god
249,God was God's name just as his name was Stephen.,god be god s name just a his name be stephen
250,Dieu was the French for God and that was God's name too; and when anyone prayed to God and said Dieu then God knew at once that it was a French person that was praying.,dieu be the french for god and that be god s name too and when anyone pray to god and say dieu then god know at once that it be a french person that be pray
251,"But, though there were different names for God in all the different languages in the world and God understood what all the people who prayed said in their different languages, still God remained always the same God and God's real name was God.",but though there be different name for god in all the different language in the world and god understand what all the people who pray say in their different language still god remain always the same god and god s real name be god
252,It made him very tired to think that way.,it make him very tire to think that way
253,It made him feel his head very big.,it make him feel his head very big
254,He turned over the flyleaf and looked wearily at the green round earth in the middle of the maroon clouds.,he turn over the flyleaf and look wearily at the green round earth in the middle of the maroon cloud
255,"He wondered which was right, to be for the green or for the maroon, because Dante had ripped the green velvet back off the brush that was for Parnell one day with her scissors and had told him that Parnell was a bad man.",he wonder which be right to be for the green or for the maroon because dante have rip the green velvet back off the brush that be for parnell one day with her scissor and have tell him that parnell be a bad man
256,He wondered if they were arguing at home about that.,he wonder if they be argue at home about that
257,That was called politics.,that be call politic
258,There were two sides in it: Dante was on one side and his father and Mr Casey were on the other side but his mother and uncle Charles were on no side.,there be two side in it dante be on one side and his father and mr casey be on the other side but his mother and uncle charles be on no side
259,Every day there was something in the paper about it.,every day there be something in the paper about it
260,It pained him that he did not know well what politics meant and that he did not know where the universe ended.,it pain him that he do not know good what politic mean and that he do not know where the universe end
261,He felt small and weak.,he feel small and weak
262,When would he be like the fellows in poetry and rhetoric?,when would he be like the fellow in poetry and rhetoric
263,They had big voices and big boots and they studied trigonometry.,they have big voice and big boot and they study trigonometry
264,That was very far away.,that be very far away
265,First came the vacation and then the next term and then vacation again and then again another term and then again the vacation.,﻿1 come the vacation and then the next term and then vacation again and then again another term and then again the vacation
266,It was like a train going in and out of tunnels and that was like the noise of the boys eating in the refectory when you opened and closed the flaps of the ears.,it be like a train go in and out of tunnel and that be like the noise of the boy eat in the refectory when you open and close the flap of the ear
267,"Term, vacation; tunnel, out; noise, stop.",term vacation tunnel out noise stop
268,How far away it was!,how far away it be
269,It was better to go to bed to sleep.,it be well to go to bed to sleep
270,Only prayers in the chapel and then bed.,only prayer in the chapel and then bed
271,He shivered and yawned.,he shiver and yawn
272,It would be lovely in bed after the sheets got a bit hot.,it would be lovely in bed after the sheet get a bite hot
273,First they were so cold to get into.,﻿1 they be so cold to get into
274,He shivered to think how cold they were first.,he shiver to think how cold they be ﻿1
275,But then they got hot and then he could sleep.,but then they get hot and then he can sleep
276,It was lovely to be tired.,it be lovely to be tire
277,He yawned again.,he yawn again
278,Night prayers and then bed: he shivered and wanted to yawn.,night prayer and then bed he shiver and want to yawn
279,It would be lovely in a few minutes.,it would be lovely in a few minute
280,"He felt a warm glow creeping up from the cold shivering sheets, warmer and warmer till he felt warm all over, ever so warm and yet he shivered a little and still wanted to yawn.",he feel a warm glow creep up from the cold shiver sheet warm and warm till he feel warm all over ever so warm and yet he shiver a little and still want to yawn
281,The bell rang for night prayers and he filed out of the study hall after the others and down the staircase and along the corridors to the chapel.,the bell ring for night prayer and he file out of the study hall after the other and down the staircase and along the corridor to the chapel
282,The corridors were darkly lit and the chapel was darkly lit.,the corridor be darkly light and the chapel be darkly light
283,Soon all would be dark and sleeping.,soon all would be dark and sleep
284,There was cold night air in the chapel and the marbles were the colour the sea was at night.,there be cold night air in the chapel and the marble be the colour the sea be at night
285,The sea was cold day and night: but it was colder at night.,the sea be cold day and night but it be cold at night
286,It was cold and dark under the seawall beside his father's house.,it be cold and dark under the seawall beside his father s house
287,But the kettle would be on the hob to make punch.,but the kettle would be on the hob to make punch
288,The prefect of the chapel prayed above his head and his memory knew the responses:,the prefect of the chapel pray above his head and his memory know the response
289,O Lord open our lips     And our mouths shall announce Thy praise.,o lord open our lip and our mouth shall announce thy praise
290,"Incline unto our aid, O God!",incline unto our aid o god
291,O Lord make haste to help us!,o lord make haste to help us
292,There was a cold night smell in the chapel.,there be a cold night smell in the chapel
293,But it was a holy smell.,but it be a holy smell
294,It was not like the smell of the old peasants who knelt at the back of the chapel at Sunday mass.,it be not like the smell of the old peasant who kneel at the back of the chapel at sunday mass
295,That was a smell of air and rain and turf and corduroy.,that be a smell of air and rain and turf and corduroy
296,But they were very holy peasants.,but they be very holy peasant
297,They breathed behind him on his neck and sighed as they prayed.,they breathe behind him on his neck and sigh a they pray
298,"They lived in Clane, a fellow said: there were little cottages there and he had seen a woman standing at the half-door of a cottage with a child in her arms as the cars had come past from Sallins.",they live in clane a fellow say there be little cottage there and he have see a woman stand at the half door of a cottage with a child in her arm a the car have come past from sallins
299,"It would be lovely to sleep for one night in that cottage before the fire of smoking turf, in the dark lit by the fire, in the warm dark, breathing the smell of the peasants, air and rain and turf and corduroy.",it would be lovely to sleep for one night in that cottage before the fire of smoke turf in the dark light by the fire in the warm dark breathe the smell of the peasant air and rain and turf and corduroy
300,"But O, the road there between the trees was dark!",but o the road there between the tree be dark
301,You would be lost in the dark.,you would be lose in the dark
302,It made him afraid to think of how it was.,it make him afraid to think of how it be
303,He heard the voice of the prefect of the chapel saying the last prayers.,he hear the voice of the prefect of the chapel say the last prayer
304,He prayed it too against the dark outside under the trees.,he pray it too against the dark outside under the tree
305,"Visit, we beseech Thee, O Lord, this habitation and drive away from it all the snares of the enemy.",visit we beseech you o lord this habitation and drive away from it all the snare of the enemy
306,May Thy holy angels dwell herein to preserve us in peace and may Thy blessings be always upon us through Christ our Lord.,may thy holy angel dwell herein to preserve us in peace and may thy blessing be always upon us through christ our lord
307,His fingers trembled as he undressed himself in the dormitory.,his finger tremble a he undress himself in the dormitory
308,He told his fingers to hurry up.,he tell his finger to hurry up
309,He had to undress and then kneel and say his own prayers and be in bed before the gas was lowered so that he might not go to hell when he died.,he have to undress and then kneel and say his own prayer and be in bed before the gas be lower so that he may not go to hell when he die
310,"He rolled his stockings off and put on his nightshirt quickly and knelt trembling at his bedside and repeated his prayers quickly, fearing that the gas would go down.",he roll his stocking off and put on his nightshirt quickly and kneel tremble at his bedside and repeat his prayer quickly fear that the gas would go down
311,He felt his shoulders shaking as he murmured:,he feel his shoulder shake a he murmur
312,God bless my father and my mother and spare them to me!,god bless my father and my mother and spare them to me
