,text_raw,text_clean
0,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo...,once upon a time and a very good time it be there be a moocow come down along the road and this moocow that be come down along the road meet a nicens little boy name baby tuckoo
1,His father told him that story: his father looked at him through a glass: he had a hairy face.,his father tell him that story his father look at him through a glass he have a hairy face
2,He was baby tuckoo.,he be baby tuckoo
3,The moocow came down the road where Betty Byrne lived: she sold lemon platt.,the moocow come down the road where betty byrne live she sell lemon platt
4,"O, the wild rose blossoms     On the little green place.",o the wild rise blossom on the little green place
5,He sang that song.,he sing that song
6,That was his song.,that be his song
7,"O, the green wothe botheth.",o the green wothe botheth
8,When you wet the bed first it is warm then it gets cold.,when you wet the bed ﻿1 it be warm then it get cold
9,His mother put on the oilsheet.,his mother put on the oilsheet
10,That had the queer smell.,that have the queer smell
11,His mother had a nicer smell than his father.,his mother have a nice smell than his father
12,She played on the piano the sailor's hornpipe for him to dance.,she play on the piano the sailor s hornpipe for him to dance
13,He danced:,he dance
14,"Tralala lala,     Tralala tralaladdy,     Tralala lala,     Tralala lala.",tralala lala tralala tralaladdy tralala lala tralala lala
15,Uncle Charles and Dante clapped.,uncle charles and dante clap
16,They were older than his father and mother but uncle Charles was older than Dante.,they be old than his father and mother but uncle charles be old than dante
17,Dante had two brushes in her press.,dante have two brush in her press
18,The brush with the maroon velvet back was for Michael Davitt and the brush with the green velvet back was for Parnell.,the brush with the maroon velvet back be for michael davitt and the brush with the green velvet back be for parnell
19,Dante gave him a cachou every time he brought her a piece of tissue paper.,dante give him a cachou every time he bring her a piece of tissue paper
20,The Vances lived in number seven.,the vances live in numb seven
21,They had a different father and mother.,they have a different father and mother
22,They were Eileen's father and mother.,they be eileen s father and mother
23,When they were grown up he was going to marry Eileen.,when they be grow up he be go to marry eileen
24,He hid under the table.,he hide under the table
25,His mother said:,his mother say
26,"O, Stephen will apologize.",o stephen will apologize
27,Dante said:,dante say
28,"O, if not, the eagles will come and pull out his eyes.",o if not the eagle will come and pull out his eye
29,"Pull out his eyes,     Apologize,     Apologize,     Pull out his eyes.",pull out his eye apologize apologize pull out his eye
30,"Apologize,     Pull out his eyes,     Pull out his eyes,     Apologize.",apologize pull out his eye pull out his eye apologize
31,The wide playgrounds were swarming with boys.,the wide playground be swarm with boy
32,All were shouting and the prefects urged them on with strong cries.,all be shout and the prefect urge them on with strong cry
33,The evening air was pale and chilly and after every charge and thud of the footballers the greasy leather orb flew like a heavy bird through the grey light.,the even air be pale and chilly and after every charge and thud of the footballer the greasy leather orb fly like a heavy bird through the grey light
34,"He kept on the fringe of his line, out of sight of his prefect, out of the reach of the rude feet, feigning to run now and then.",he keep on the fringe of his line out of sight of his prefect out of the reach of the rude foot feign to run now and then
