,text_raw,text_clean
38,"The albino drew a pistol from his coat and aimed the barrel through the bars, directly at the curator.",the albino draw a pistol from his coat and aim the barrel through the bar directly at the curator
39,"""You should not have run.""",you should not have run
40,His accent was not easy to place.,his accent be not easy to place
41,"""Now tell me where it is.""",now tell me where it be
42,"""I told you already,"" the curator stammered, kneeling defenseless on the floor of the gallery.",i tell you already the curator stammer kneel defenseless on the floor of the gallery
43,"""I have no idea what you are talking about!""",i have no idea what you be talk about
44,"""You are lying.""",you be lie
45,"The man stared at him, perfectly immobile except for the glint in his ghostly eyes.",the man stare at him perfectly immobile except for the glint in his ghostly eye
46,"""You and your brethren possess something that is not yours.""",you and your brother possess something that be not yours
47,The curator felt a surge of adrenaline.,the curator feel a surge of adrenaline
48,How could he possibly know this?,how can he possibly know this
49,"""Tonight the rightful guardians will be restored.",tonight the rightful guardian will be restore
50,"Tell me where it is hidden, and you will live.""",tell me where it be hide and you will live
51,The man leveled his gun at the curator's head.,the man level his gun at the curator s head
52,"""Is it a secret you will die for?""",be it a secret you will die for
53,Saunire could not breathe.,saunire can not breathe
54,"The man tilted his head, peering down the barrel of his gun.",the man tilt his head peer down the barrel of his gun
55,Saunire held up his hands in defense.,saunire hold up his hand in defense
56,"""Wait,"" he said slowly.",wait he say slowly
57,"""I will tell you what you need to know.""",i will tell you what you need to know
58,The curator spoke his next words carefully.,the curator speak his next word carefully
59,The lie he told was one he had rehearsed many times... each time praying he would never have to use it.,the lie he tell be one he have rehearse many time each time pray he would never have to use it
60,"When the curator had finished speaking, his assailant smiled smugly.",when the curator have finish speak his assailant smile smugly
61,"""Yes.",yes
62,"This is exactly what the others told me.""",this be exactly what the other tell me
63,Saunire recoiled.,saunire recoil
64,The others?,the other
65,"""I found them, too,"" the huge man taunted.",i find them too the huge man taunt
66,"""All three of them.",all three of them
67,"They confirmed what you have just said.""",they confirm what you have just say
68,It cannot be!,it can not be
69,"The curator's true identity, along with the identities of his three snchaux, was almost as sacred as the ancient secret they protected.",the curator s true identity along with the identity of his three snchaux be almost a sacred a the ancient secret they protect
70,"Saunire now realized his snchaux, following strict procedure, had told the same lie before their own deaths.",saunire now realize his snchaux follow strict procedure have tell the same lie before their own death
71,It was part of the protocol.,it be part of the protocol
72,The attacker aimed his gun again.,the attacker aim his gun again
73,"""When you are gone, I will be the only one who knows the truth.""",when you be go i will be the only one who know the truth
74,The truth.,the truth
75,"In an instant, the curator grasped the true horror of the situation.",in a instant the curator grasp the true horror of the situation
76,"If I die, the truth will be lost forever.",if i die the truth will be lose forever
77,"Instinctively, he tried to scramble for cover.",instinctively he try to scramble for cover
78,"The gun roared, and the curator felt a searing heat as the bullet lodged in his stomach.",the gun roar and the curator feel a sear heat a the bullet lodge in his stomach
79,He fell forward... struggling against the pain.,he fall forward struggle against the pain
80,"Slowly, Saunire rolled over and stared back through the bars at his attacker.",slowly saunire roll over and stare back through the bar at his attacker
81,The man was now taking dead aim at Saunire's head.,the man be now take dead aim at saunire s head
82,"Saunire closed his eyes, his thoughts a swirling tempest of fear and regret.",saunire close his eye his thought a swirl tempest of fear and regret
83,The click of an empty chamber echoed through the corridor.,the click of a empty chamber echo through the corridor
84,The curator's eyes flew open.,the curator s eye fly open
85,"The man glanced down at his weapon, looking almost amused.",the man glance down at his weapon look almost amuse
86,"He reached for a second clip, but then seemed to reconsider, smirking calmly at Saunire's gut.",he reach for a 2 clip but then seem to reconsider smirk calmly at saunire s gut
87,"""My work here is done.""",my work here be do
88,The curator looked down and saw the bullet hole in his white linen shirt.,the curator look down and see the bullet hole in his white linen shirt
89,It was framed by a small circle of blood a few inches below his breastbone.,it be frame by a small circle of blood a few inch below his breastbone
90,My stomach.,my stomach
91,"Almost cruelly, the bullet had missed his heart.",almost cruelly the bullet have miss his heart
92,"As a veteran of la Guerre d'Algrie, the curator had witnessed this horribly drawnout death before.",a a veteran of la guerre have algrie the curator have witness this horribly drawnout death before
93,"For fifteen minutes, he would survive as his stomach acids seeped into his chest cavity, slowly poisoning him from within.",for fifteen minute he would survive a his stomach acid seep into his chest cavity slowly poison him from within
94,"""Pain is good, monsieur,"" the man said.",pain be good monsieur the man say
95,Then he was gone.,then he be go
96,"Alone now, Jacques Saunire turned his gaze again to the iron gate.",alone now jacques saunire turn his gaze again to the iron gate
97,"He was trapped, and the doors could not be reopened for at least twenty minutes.",he be trap and the door can not be reopen for at little twenty minute
98,"By the time anyone got to him, he would be dead.",by the time anyone get to him he would be dead
99,"Even so, the fear that now gripped him was a fear far greater than that of his own death.",even so the fear that now grip him be a fear far great than that of his own death
100,I must pass on the secret.,i must pass on the secret
101,"Staggering to his feet, he pictured his three murdered brethren.",stagger to his foot he picture his three murder brother
102,He thought of the generations who had come before them... of the mission with which they had all been entrusted.,he think of the generation who have come before them of the mission with which they have all be entrust
103,An unbroken chain of knowledge.,a unbroken chain of knowledge
104,"Suddenly, now, despite all the precautions... despite all the fail-safes...",suddenly now despite all the precaution despite all the fail safe
105,"Jacques Saunire was the only remaining link, the sole guardian of one of the most powerful secrets ever kept.",jacques saunire be the only remain link the sole guardian of one of the much powerful secret ever keep
106,"Shivering, he pulled himself to his feet.",shiver he pull himself to his foot
107,I must find some way....,i must find some way
108,"He was trapped inside the Grand Gallery, and there existed only one person on earth to whom he could pass the torch.",he be trap inside the grand gallery and there exist only one person on earth to whom he can pass the torch
109,Saunire gazed up at the walls of his opulent prison.,saunire gaze up at the wall of his opulent prison
110,A collection of the world's most famous paintings seemed to smile down on him like old friends.,a collection of the world s much famous painting seem to smile down on him like old friend
111,"Wincing in pain, he summoned all of his faculties and strength.",wince in pain he summon all of his faculty and strength
112,"The desperate task before him, he knew, would require every remaining second of his life.",the desperate task before him he know would require every remain 2 of his life
113,Robert Langdon awoke slowly.,robert langdon awake slowly
114,"A telephone was ringing in the darknessa tinny, unfamiliar ring.",a telephone be ring in the darknessa tinny unfamiliar ring
115,He fumbled for the bedside lamp and turned it on.,he fumble for the bedside lamp and turn it on
116,"Squinting at his surroundings he saw a plush Renaissance bedroom with Louis XVI furniture, hand-frescoed walls, and a colossal mahogany four-poster bed.",squint at his surrounding he see a plush renaissance bedroom with louis xvi furniture hand frescoed wall and a colossal mahogany four poster bed
117,Where the hell am I?,where the hell be i
118,The jacquard bathrobe hanging on his bedpost bore the monogram: HOTEL RITZ PARIS.,the jacquard bathrobe hang on his bedpost bear the monogram hotel ritz paris
119,"Slowly, the fog began to lift.",slowly the fog begin to lift
120,Langdon picked up the receiver.,langdon pick up the receiver
121,"""Hello?""",hello
122,"""Monsieur Langdon?""",monsieur langdon
123,a man's voice said.,a man s voice say
124,"""I hope I have not awoken you?""",i hope i have not awake you
125,"Dazed, Langdon looked at the bedside clock.",daze langdon look at the bedside clock
126,It was 12:32 A.M.,it be a be
127,"He had been asleep only an hour, but he felt like the dead.",he have be asleep only a hour but he feel like the dead
128,"""This is the concierge, monsieur.",this be the concierge monsieur
129,"I apologize for this intrusion, but you have a visitor.",i apologize for this intrusion but you have a visitor
130,"He insists it is urgent.""",he insist it be urgent
131,Langdon still felt fuzzy.,langdon still feel fuzzy
132,A visitor?,a visitor
133,His eyes focused now on a crumpled flyer on his bedside table.,his eye focus now on a crumple flyer on his bedside table
134,THE AMERICAN UNIVERSITY OF PARIS,the american university of paris
135,proudly presents,proudly present
136,AN EVENING WITH ROBERT LANGDON,a even with robert langdon
137,"PROFESSOR OF RELIGIOUS SYMBOLOGY,",professor of religious symbology
138,HARVARD UNIVERSITY,harvard university
139,Langdon groaned.,langdon groan
140,Tonight's lecturea slide show about pagan symbolism hidden in the stones of Chartres Cathedralhad probably ruffled some conservative feathers in the audience.,tonight s lecturea slide show about pagan symbolism hide in the stone of chartres cathedralhad probably ruffle some conservative feather in the audience
141,"Most likely, some religious scholar had trailed him home to pick a fight.",much likely some religious scholar have trail him home to pick a fight
142,"""I'm sorry,"" Langdon said, ""but I'm very tired and""",i be sorry langdon say but i be very tire and
143,"""Mais, monsieur,"" the concierge pressed, lowering his voice to an urgent whisper.",mais monsieur the concierge press lower his voice to a urgent whisper
144,"""Your guest is an important man.""",your guest be a important man
145,Langdon had little doubt.,langdon have little doubt
146,"His books on religious paintings and cult symbology had made him a reluctant celebrity in the art world, and last year Langdon's visibility had increased a hundredfold after his involvement in a widely publicized incident at the Vatican.",his book on religious painting and cult symbology have make him a reluctant celebrity in the art world and last year langdon s visibility have increase a hundredfold after his involvement in a widely publicize incident at the vatican
147,"Since then, the stream of selfimportant historians and art buffs arriving at his door had seemed never-ending.",since then the stream of selfimportant historian and art buff arrive at his door have seem never end
148,"""If you would be so kind,"" Langdon said, doing his best to remain polite, ""could you take the man's name and number, and tell him I'll try to call him before I leave Paris on Tuesday?",if you would be so kind langdon say do his well to remain polite can you take the man s name and numb and tell him i will try to call him before i leave paris on tuesday
149,"Thank you.""",thank you
150,He hung up before the concierge could protest.,he hang up before the concierge can protest
151,"Sitting up now, Langdon frowned at his bedside Guest Relations Handbook, whose cover boasted: SLEEP LIKE A BABY IN THE CITY OF LIGHTS.",sit up now langdon frown at his bedside guest relation handbook whose cover boast sleep like a baby in the city of light
152,SLUMBER AT THE PARIS RITZ.,slumber at the paris ritz
153,turned and gazed tiredly into the full-length mirror across the room.,turn and gaze tiredly into the full length mirror across the room
154,The man staring back at him was a strangertousled and weary.,the man stare back at him be a strangertousled and weary
155,"You need a vacation, Robert.",you need a vacation robert
156,"The past year had taken a heavy toll on him, but he didn't appreciate seeing proof in the mirror.",the past year have take a heavy toll on him but he do not appreciate see proof in the mirror
157,His usually sharp blue eyes looked hazy and drawn tonight.,his usually sharp blue eye look hazy and draw tonight
158,A dark stubble was shrouding his strong jaw and dimpled chin.,a dark stubble be shroud his strong jaw and dimple chin
159,"Around his temples, the gray highlights were advancing, making their way deeper into his thicket of coarse black hair.",around his temple the gray highlight be advance make their way deep into his thicket of coarse black hair
160,"Although his female colleagues insisted the gray only accentuated his bookish appeal, Langdon knew better.",although his female colleague insist the gray only accentuate his bookish appeal langdon know well
161,If Boston Magazine could see me now.,if boston magazine can see me now
162,"Last month, much to Langdon's embarrassment, Boston Magazine had listed him as one of that city's top ten most intriguing peoplea dubious honor that made him the brunt of endless ribbing by his Harvard colleagues.",last month much to langdon s embarrassment boston magazine have list him a one of that city s top ten much intrigue peoplea dubious honor that make him the brunt of endless rib by his harvard colleague
163,"Tonight, three thousand miles from home, the accolade had resurfaced to haunt him at the lecture he had given.",tonight three thousand mile from home the accolade have resurface to haunt him at the lecture he have give
164,"""Ladies and gentlemen..."" the hostess had announced to a full house at the American University of Paris's Pavilion Dauphine, ""Our guest tonight needs no introduction.",lady and gentleman the hostess have announce to a full house at the american university of paris s pavilion dauphine our guest tonight need no introduction
165,"He is the author of numerous books: The Symbology of Secret Sects, The An of the Illuminati, The Lost Language of Ideograms, and when I say he wrote the book on Religious Iconology, I mean that quite literally.",he be the author of numerous book the symbology of secret sect the a of the illuminati the lose language of ideogram and when i say he write the book on religious iconology i mean that quite literally
166,"Many of you use his textbooks in class.""",many of you use his textbook in class
167,The students in the crowd nodded enthusiastically.,the student in the crowd nod enthusiastically
168,"""I had planned to introduce him tonight by sharing his impressive curriculum vitae.",i have plan to introduce him tonight by share his impressive curriculum vita
169,"However...""",however
170,"She glanced playfully at Langdon, who was seated onstage.",she glance playfully at langdon who be seat onstage
171,"""An audience member has just handed me a far more, shall we say... intriguing introduction.""",a audience member have just hand me a far much shall we say intrigue introduction
172,She held up a copy of Boston Magazine.,she hold up a copy of boston magazine
173,Langdon cringed.,langdon cringe
174,Where the hell did she get that?,where the hell do she get that
175,"The hostess began reading choice excerpts from the inane article, and Langdon felt himself sinking lower and lower in his chair.",the hostess begin read choice excerpt from the inane article and langdon feel himself sink low and low in his chair
176,"Thirty seconds later, the crowd was grinning, and the woman showed no signs of letting up.",thirty second late the crowd be grin and the woman show no sign of let up
177,"""And Mr. Langdon's refusal to speak publicly about his unusual role in last year's Vatican conclave certainly wins him points on our intrigue-o-meter.""",and mr langdon s refusal to speak publicly about his unusual role in last year s vatican conclave certainly win him point on our intrigue o meter
178,The hostess goaded the crowd.,the hostess goad the crowd
179,"""Would you like to hear more?""",would you like to hear much
180,The crowd applauded.,the crowd applaud
181,"Somebody stop her, Langdon pleaded as she dove into the article again.",somebody stop her langdon plead a she dive into the article again
182,"""Although Professor Langdon might not be considered hunk-handsome like some of our younger awardees, this forty-something academic has more than his share of scholarly allure.",although professor langdon may not be consider hunk handsome like some of our young awardee this forty something academic have much than his share of scholarly allure
183,"His captivating presence is punctuated by an unusually low, baritone speaking voice, which his female students describe as 'chocolate for the ears.'",his captivate presence be punctuate by a unusually low baritone speak voice which his female student describe a chocolate for the ear
184,The hall erupted in laughter.,the hall erupt in laughter
185,Langdon forced an awkward smile.,langdon force a awkward smile
186,He knew what came nextsome ridiculous line about,he know what come nextsome ridiculous line about
187,"""Harrison Ford in Harris tweed""and because this evening he had figured it was finally safe again to wear his Harris tweed and Burberry turtleneck, he decided to take action.",harrison ford in harris tweed and because this even he have figure it be finally safe again to wear his harris tweed and burberry turtleneck he decide to take action
188,"""Thank you, Monique,"" Langdon said, standing prematurely and edging her away from the podium.",thank you monique langdon say stand prematurely and edge her away from the podium
189,"""Boston Magazine clearly has a gift for fiction.""",boston magazine clearly have a gift for fiction
190,He turned to the audience with an embarrassed sigh.,he turn to the audience with a embarrass sigh
191,"""And if I find which one of you provided that article, I'll have the consulate deport you.""",and if i find which one of you provide that article i will have the consulate deport you
192,The crowd laughed.,the crowd laugh
193,"""Well, folks, as you all know, I'm here tonight to talk about the power of symbols...""",good folk a you all know i be here tonight to talk about the power of symbol
194,The ringing of Langdon's hotel phone once again broke the silence.,the ring of langdon s hotel phone once again break the silence
195,"Groaning in disbelief, he picked up.",groan in disbelief he pick up
196,"""Yes?""",yes
197,"As expected, it was the concierge.",a expect it be the concierge
198,"""Mr. Langdon, again my apologies.",mr langdon again my apology
199,I am calling to inform you that your guest is now en route to your room.,i be call to inform you that your guest be now en route to your room
200,"I thought I should alert you.""",i think i should alert you
201,Langdon was wide awake now.,langdon be wide awake now
202,"""You sent someone to my room?""",you send someone to my room
203,"""I apologize, monsieur, but a man like this...",i apologize monsieur but a man like this
204,"I cannot presume the authority to stop him.""",i can not presume the authority to stop him
205,"""Who exactly is he?""",who exactly be he
206,But the concierge was gone.,but the concierge be go
207,"Almost immediately, a heavy fist pounded on Langdon's door.",almost immediately a heavy fist pound on langdon s door
208,"Uncertain, Langdon slid off the bed, feeling his toes sink deep into the savonniere carpet.",uncertain langdon slide off the bed feel his toe sink deep into the savonniere carpet
209,He donned the hotel bathrobe and moved toward the door.,he don the hotel bathrobe and move toward the door
210,"""Who is it?""",who be it
211,"""Mr. Langdon?",mr langdon
212,"I need to speak with you.""",i need to speak with you
213,"The man's English was accenteda sharp, authoritative bark.",the man s english be accenteda sharp authoritative bark
214,"""My name is Lieutenant Jerome Collet.",my name be lieutenant jerome collet
215,"Direction Centrale Police Judiciaire.""",direction centrale police judiciaire
216,Langdon paused.,langdon pause
217,The Judicial Police?,the judicial police
218,The DCPJ was the rough equivalent of the U.S. FBI.,the dcpj be the rough equivalent of the you s fbi
219,"Leaving the security chain in place, Langdon opened the door a few inches.",leave the security chain in place langdon open the door a few inch
220,The face staring back at him was thin and washed out.,the face stare back at him be thin and wash out
221,"The man was exceptionally lean, dressed in an official-looking blue uniform.",the man be exceptionally lean dress in a official look blue uniform
222,"""May I come in?""",may i come in
223,the agent asked.,the agent ask
224,"Langdon hesitated, feeling uncertain as the stranger's sallow eyes studied him.",langdon hesitate feel uncertain a the strange s sallow eye study him
225,"""What is this all about?""",what be this all about
226,"""My capitaine requires your expertise in a private matter.""",my capitaine require your expertise in a private matt
227,"""Now?""",now
228,Langdon managed.,langdon manage
229,"""It's after midnight.""",it be after midnight
230,"""Am I correct that you were scheduled to meet with the curator of the Louvre this evening?""",be i correct that you be schedule to meet with the curator of the louvre this even
231,Langdon felt a sudden surge of uneasiness.,langdon feel a sudden surge of uneasiness
232,"He and the revered curator Jacques Saunire had been slated to meet for drinks after Langdon's lecture tonight, but Saunire had never shown up.",he and the revere curator jacques saunire have be slate to meet for drink after langdon s lecture tonight but saunire have never show up
233,"""Yes.",yes
234,"How did you know that?""",how do you know that
235,"""We found your name in his daily planner.""",we find your name in his daily planner
236,"""I trust nothing is wrong?""",i trust nothing be wrong
237,The agent gave a dire sigh and slid a Polaroid snapshot through the narrow opening in the door.,the agent give a dire sigh and slide a polaroid snapshot through the narrow open in the door
238,"When Langdon saw the photo, his entire body went rigid.",when langdon see the photo his entire body go rigid
239,"""This photo was taken less than an hour ago.",this photo be take little than a hour ago
240,"Inside the Louvre.""",inside the louvre
241,"As Langdon stared at the bizarre image, his initial revulsion and shock gave way to a sudden upwelling of anger.",a langdon stare at the bizarre image his initial revulsion and shock give way to a sudden upwelling of anger
242,"""Who would do this!""",who would do this
243,"""We had hoped that you might help us answer that very question, considering your knowledge in symbology and your plans to meet with him.""",we have hope that you may help us answer that very question consider your knowledge in symbology and your plan to meet with him
244,"Langdon stared at the picture, his horror now laced with fear.",langdon stare at the picture his horror now lace with fear
245,"The image was gruesome and profoundly strange, bringing with it an unsettling sense of dj vu.",the image be gruesome and profoundly strange bring with it a unsettle sense of dj vu
246,"A little over a year ago, Langdon had received a photograph of a corpse and a similar request for help.",a little over a year ago langdon have receive a photograph of a corpse and a similar request for help
247,"Twenty-four hours later, he had almost lost his life inside Vatican City.",twenty four hour late he have almost lose his life inside vatican city
248,"This photo was entirely different, and yet something about the scenario felt disquietingly familiar.",this photo be entirely different and yet something about the scenario feel disquietingly familiar
249,The agent checked his watch.,the agent check his watch
250,"""My capitaine is waiting, sir.""",my capitaine be wait sir
251,Langdon barely heard him.,langdon barely hear him
252,His eyes were still riveted on the picture.,his eye be still rivet on the picture
253,"""This symbol here, and the way his body is so oddly...""",this symbol here and the way his body be so oddly
254,"""Positioned?""",position
255,the agent offered.,the agent offer
256,"Langdon nodded, feeling a chill as he looked up.",langdon nod feel a chill a he look up
257,"""I can't imagine who would do this to someone.""",i can not imagine who would do this to someone
258,The agent looked grim.,the agent look grim
259,"""You don't understand, Mr. Langdon.",you do not understand mr langdon
260,"What you see in this photograph...""",what you see in this photograph
261,He paused.,he pause
262,"""Monsieur Saunire did that to himself.""",monsieur saunire do that to himself
263,"One mile away, the hulking albino named Silas limped through the front gate of the luxurious brownstone residence on Rue La Bruyre.",one mile away the hulking albino name silas limp through the front gate of the luxurious brownstone residence on rue la bruyre
264,"The spiked cilice belt that he wore around his thigh cut into his flesh, and yet his soul sang with satisfaction of service to the Lord.",the spike cilice belt that he wear around his thigh cut into his flesh and yet his soul sing with satisfaction of service to the lord
265,Pain is good.,pain be good
266,His red eyes scanned the lobby as he entered the residence.,his red eye scan the lobby a he enter the residence
267,Empty.,empty
268,"He climbed the stairs quietly, not wanting to awaken any of his fellow numeraries.",he climb the stair quietly not want to awaken any of his fellow numeraries
269,His bedroom door was open; locks were forbidden here.,his bedroom door be open lock be forbid here
270,"He entered, closing the door behind him.",he enter close the door behind him
271,"The room was spartanhardwood floors, a pine dresser, a canvas mat in the corner that served as his bed.",the room be spartanhardwood floor a pine dresser a canvas mat in the corner that serve a his bed
272,"He was a visitor here this week, and yet for many years he had been blessed with a similar sanctuary in New York City.",he be a visitor here this week and yet for many year he have be bless with a similar sanctuary in new york city
273,The Lord has provided me shelter and purpose in my life.,the lord have provide me shelter and purpose in my life
274,"Tonight, at last, Silas felt he had begun to repay his debt.",tonight at last silas feel he have begin to repay his debt
275,"Hurrying to the dresser, he found the cell phone hidden in his bottom drawer and placed a call.",hurry to the dresser he find the cell phone hide in his bottom drawer and place a call
276,"""Yes?""",yes
277,a male voice answered.,a male voice answer
278,"""Teacher, I have returned.""",teacher i have return
279,"""Speak,"" the voice commanded, sounding pleased to hear from him.",speak the voice command sound please to hear from him
280,"""All four are gone.",all four be go
281,"The three snchaux... and the Grand Master himself.""",the three snchaux and the grand master himself
282,"There was a momentary pause, as if for prayer.",there be a momentary pause a if for prayer
283,"""Then I assume you have the information?""",then i assume you have the information
284,"""All four concurred.",all four concur
285,"Independently.""",independently
286,"""And you believed them?""",and you believe them
287,"""Their agreement was too great for coincidence.""",their agreement be too great for coincidence
288,An excited breath.,a excite breath
289,"""Excellent.",excellent
290,"I had feared the brotherhood's reputation for secrecy might prevail.""",i have fear the brotherhood s reputation for secrecy may prevail
291,"""The prospect of death is strong motivation.""",the prospect of death be strong motivation
292,"""So, my pupil, tell me what I must know.""",so my pupil tell me what i must know
293,Silas knew the information he had gleaned from his victims would come as a shock.,silas know the information he have glean from his victim would come a a shock
294,"""Teacher, all four confirmed the existence of the clef de vote... the legendary keystone.""",teacher all four confirm the existence of the clef de vote the legendary keystone
295,He heard a quick intake of breath over the phone and could feel the Teacher's excitement.,he hear a quick intake of breath over the phone and can feel the teacher s excitement
296,"""The keystone.",the keystone
297,"Exactly as we suspected.""",exactly a we suspect
298,"According to lore, the brotherhood had created a map of stonea clef de vote... or keystonean engraved tablet that revealed the final resting place of the brotherhood's greatest secret... information so powerful that its protection was the reason for the brotherhood's very existence.",accord to lore the brotherhood have create a map of stonea clef de vote or keystonean engrave tablet that reveal the final rest place of the brotherhood s great secret information so powerful that its protection be the reason for the brotherhood s very existence
299,"""When we possess the keystone,"" the Teacher said, ""we will be only one step away.""",when we possess the keystone the teacher say we will be only one step away
300,"""We are closer than you think.",we be close than you think
301,"The keystone is here in Paris.""",the keystone be here in paris
302,"""Paris?",paris
303,Incredible.,incredible
304,"It is almost too easy.""",it be almost too easy
305,"Silas relayed the earlier events of the evening... how all four of his victims, moments before death, had desperately tried to buy back their godless lives by telling their secret.",silas relay the early event of the even how all four of his victim moment before death have desperately try to buy back their godless live by tell their secret
306,Each had told Silas the exact same thingthat the keystone was ingeniously hidden at a precise location inside one of Paris's ancient churchesthe Eglise de Saint-Sulpice.,each have tell silas the exact same thingthat the keystone be ingeniously hide at a precise location inside one of paris s ancient churchesthe eglise de saint sulpice
