,text_raw,text_clean
0,The Da Vinci Code Dan Brown,the da vinci code dan brown
1,FOR BLYTHE...,for blythe
2,AGAIN.,again
3,MORE THAN EVER.,much than ever
4,Acknowledgments,acknowledgment
5,"First and foremost, to my friend and editor, Jason Kaufman, for working so hard on this project and for truly understanding what this book is all about.",﻿1 and foremost to my friend and editor jason kaufman for work so hard on this project and for truly understand what this book be all about
6,"And to the incomparable Heide Langetireless champion of The Da Vinci Code, agent extraordinaire, and trusted friend.",and to the incomparable heide langetireless champion of the da vinci code agent extraordinaire and trust friend
7,"I cannot fully express my gratitude to the exceptional team at Doubleday, for their generosity, faith, and superb guidance.",i can not fully express my gratitude to the exceptional team at doubleday for their generosity faith and superb guidance
8,"Thank you especially to Bill Thomas and Steve Rubin, who believed in this book from the start.",thank you especially to bill thomas and steve rubin who believe in this book from the start
9,"My thanks also to the initial core of early in-house supporters, headed by Michael Palgon, Suzanne Herz, Janelle Moburg, Jackie Everly, and Adrienne Sparks, as well as to the talented people of Doubleday's sales force.",my thank also to the initial core of early in house supporter head by michael palgon suzanne herz janelle moburg jackie everly and adrienne spark a good a to the talented people of doubleday s sale force
10,"For their generous assistance in the research of the book, I would like to acknowledge the Louvre Museum, the French Ministry of Culture, Project Gutenberg, Bibliothque Nationale, the Gnostic Society Library, the Department of Paintings Study and Documentation Service at the Louvre, Catholic World News, Royal Observatory Greenwich, London Record Society, the Muniment Collection at Westminster Abbey, John Pike and the Federation of American Scientists, and the five members of Opus Dei (three active, two former) who recounted their stories, both positive and negative, regarding their experiences inside Opus Dei.",for their generous assistance in the research of the book i would like to acknowledge the louvre museum the french ministry of culture project gutenberg bibliothque nationale the gnostic society library the department of painting study and documentation service at the louvre catholic world news royal observatory greenwich london record society the muniment collection at westminster abbey john pike and the federation of american scientist and the five member of opus dei three active two former who recount their story both positive and negative regard their experience inside opus dei
11,"My gratitude also to Water Street Bookstore for tracking down so many of my research books, my father Richard Brownmathematics teacher and authorfor his assistance with the Divine Proportion and the Fibonacci Sequence, Stan Planton, Sylvie Baudeloque, Peter McGuigan, Francis McInerney, Margie Wachtel, Andr Vernet, Ken Kelleher at Anchorball Web Media, Cara Sottak, Karyn Popham, Esther Sung, Miriam Abramowitz, William Tunstall-Pedoe, and Griffin Wooden Brown.",my gratitude also to water street bookstore for track down so many of my research book my father richard brownmathematics teacher and authorfor his assistance with the divine proportion and the fibonacci sequence stan planton sylvie baudeloque peter mcguigan francis mcinerney margie wachtel andr vernet ken kelleher at anchorball web medium cara sottak karyn popham esther sing miriam abramowitz william tunstall pedoe and griffin wooden brown
12,"And finally, in a novel drawing so heavily on the sacred feminine, I would be remiss if I did not mention the two extraordinary women who have touched my life.",and finally in a novel draw so heavily on the sacred feminine i would be remiss if i do not mention the two extraordinary woman who have touch my life
13,"First, my mother, Connie Brownfellow scribe, nurturer, musician, and role model.",﻿1 my mother connie brownfellow scribe nurturer musician and role model
14,"And my wife, Blytheart historian, painter, front-line editor, and without a doubt the most astonishingly talented woman I have ever known.",and my wife blytheart historian painter front line editor and without a doubt the much astonishingly talented woman i have ever know
15,The Priory of Siona European secret society founded in 1099is a real organization.,the priory of siona european secret society found in 1099is a real organization
16,In 1975,in
17,"Paris's Bibliothque Nationale discovered parchments known as Les Dossiers Secrets, identifying numerous members of the Priory of Sion, including Sir Isaac Newton, Botticelli, Victor Hugo, and Leonardo da Vinci.",paris s bibliothque nationale discover parchment know a les dossier secret identify numerous member of the priory of sion include sir isaac newton botticelli victor hugo and leonardo da vinci
18,"The Vatican prelature known as Opus Dei is a deeply devout Catholic sect that has been the topic of recent controversy due to reports of brainwashing, coercion, and a dangerous practice known as",the vatican prelature know a opus dei be a deeply devout catholic sect that have be the topic of recent controversy due to report of brainwash coercion and a dangerous practice know a
19,"""corporal mortification.""",corporal mortification
20,Opus Dei has just completed construction of a $47 million World Headquarters at 243 Lexington Avenue in New York City.,opus dei have just complete construction of a million world headquarter at lexington avenue in new york city
21,"All descriptions of artwork, architecture, documents, and secret rituals in this novel are accurate.",all description of artwork architecture document and secret ritual in this novel be accurate
22,"Louvre Museum, Paris 10:46 P.M.",louvre museum paris p be
23,Renowned curator Jacques Saunire staggered through the vaulted archway of the museum's Grand Gallery.,renowned curator jacques saunire stagger through the vault archway of the museum s grand gallery
24,"He lunged for the nearest painting he could see, a Caravaggio.",he lunge for the near paint he can see a caravaggio
25,"Grabbing the gilded frame, the seventy-six-year-old man heaved the masterpiece toward himself until it tore from the wall and Saunire collapsed backward in a heap beneath the canvas.",grab the gild frame the seventy six year old man heave the masterpiece toward himself until it tear from the wall and saunire collapse backward in a heap beneath the canvas
26,"As he had anticipated, a thundering iron gate fell nearby, barricading the entrance to the suite.",a he have anticipate a thunder iron gate fall nearby barricade the entrance to the suite
27,The parquet floor shook.,the parquet floor shake
28,"Far off, an alarm began to ring.",far off a alarm begin to ring
29,"The curator lay a moment, gasping for breath, taking stock.",the curator lie a moment gasp for breath take stock
30,I am still alive.,i be still alive
31,He crawled out from under the canvas and scanned the cavernous space for someplace to hide.,he crawl out from under the canvas and scan the cavernous space for someplace to hide
32,"A voice spoke, chillingly close.",a voice speak chillingly close
33,"""Do not move.""",do not move
34,"On his hands and knees, the curator froze, turning his head slowly.",on his hand and knee the curator freeze turn his head slowly
35,"Only fifteen feet away, outside the sealed gate, the mountainous silhouette of his attacker stared through the iron bars.",only fifteen foot away outside the seal gate the mountainous silhouette of his attacker stare through the iron bar
36,"He was broad and tall, with ghost-pale skin and thinning white hair.",he be broad and tall with ghost pale skin and thin white hair
37,His irises were pink with dark red pupils.,his iris be pink with dark red pupil
